物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
長谷川アパート,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩10分
None
None
","
築61年
2階建
","
											2階","1. 賃料: 2万円
1. 管理費: 2000円
2. 賃料: 2万円
2. 管理費: 2000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 13.6m2
2. ワンルーム
2. 13.6m2
"
ワイズコーポラス,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/南柏駅 歩27分
ＪＲ常磐線/北柏駅 歩42分
","
築56年
2階建
","
											2階","1. 賃料: 3.9万円
1. 管理費: -
2. 賃料: 4.1万円
2. 管理費: -
","1. 敷金: 3.9万円
1. 礼金: -
2. 敷金: 4.1万円
2. 礼金: -
","1. 2K
1. 22m2
2. 2K
2. 22m2
"
柏市旭町四丁目貸家,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/豊四季駅 歩32分
","
築47年
2階建
","
											1-2階","1. 賃料: 8万円
1. 管理費: -
2. 賃料: 8万円
2. 管理費: -
","1. 敷金: 16万円
1. 礼金: -
2. 敷金: 16万円
2. 礼金: -
","1. 3DK
1. 65.19m2
2. 3DK
2. 65.19m2
"
ＪＲ常磐線 柏駅 2階建 築47年,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/南柏駅 歩25分
","
築47年
2階建
","
											1-2階","1. 賃料: 8万円
1. 管理費: -
","1. 敷金: 16万円
1. 礼金: -
","1. 3DK
1. 65.19m2
"
日新柏マンション,千葉県柏市柏６,"ＪＲ常磐線/柏駅 歩9分
東武野田線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩23分
","
築51年
7階建
","
											4階","1. 賃料: 6.7万円
1. 管理費: 5000円
","1. 敷金: 6.7万円
1. 礼金: -
","1. 2LDK
1. 58.28m2
"
安藤荘,千葉県柏市旭町４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/南柏駅 歩29分
東武野田線/豊四季駅 歩29分
","
築49年
2階建
","
											2階","1. 賃料: 2.8万円
1. 管理費: -
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20m2
"
東マンション,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩26分
つくばエクスプレス/柏の葉キャンパス駅 車11分(4.8km)
","
築51年
2階建
","
											2階","1. 賃料: 5万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
","1. 1DK
1. 30m2
"
Jハイツ,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩40分
","
築51年
2階建
","
											1階","1. 賃料: 2.9万円
1. 管理費: 5000円
","1. 敷金: 2.9万円
1. 礼金: -
","1. 1K
1. 24.75m2
"
サンハイツ柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/南柏駅 歩24分
東武野田線/豊四季駅 歩36分
","
築50年
2階建
","
											1階","1. 賃料: 3万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 19.87m2
"
ＪＲ常磐線 柏駅 3階建 築36年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩15分
東武野田線/柏駅 歩15分
ＪＲ常磐線/柏駅 歩15分
","
築36年
3階建
","
											1階","1. 賃料: 9.2万円
1. 管理費: 10000円
","1. 敷金: 9.2万円
1. 礼金: -
","1. 2LDK
1. 100m2
"
